"","campaign_id","month(act_date)","year(act_date)","Number of donations","avg(amount)","sum(amount)"
"1","SJ10",7,2010,2255,61.692089,139115.66
"2","2008",10,2006,7,77.142857,540
"3","LAL20",12,2020,6526,66.509615,434041.75
"4","DOPRL",1,2013,1870,22.039091,41213.1
"5","DOPRL",2,2013,1653,21.094295,34868.87
"6","DOPRL",3,2013,1495,19.381819,28975.82
"7","DOPRL",4,2013,1806,21.998045,39728.47
"8","DOPRL",5,2013,1610,21.157373,34063.37
"9","DOPRL",7,2013,1771,21.933924,38844.98
"10","DOPRL",10,2013,1729,22.116403,38239.26
"11","DOPRL",11,2013,1514,21.250746,32173.63
"12","SO17",10,2017,4362,53.621761,233898.12
"13","SF10",7,2010,440,61.320455,26981
"14","SJ17",10,2017,192,65.453125,12567
"15","DMA06",5,2006,20,379.327,7586.54
"16","SO07",9,2008,84,96.285714,8088
"17","LAL",12,2005,2518,56.342637,141870.76
"18","SF06",4,2006,998,57.501713,57386.71
"19","DOPRL",7,2010,1675,22.349737,37435.81
"20","SO05",12,2005,3660,61.178219,223912.28
"21","SF07",6,2007,553,54.057866,29894
"22","DOPRL",6,2013,1463,19.286275,28215.82
"23","DOPRL",9,2013,1414,19.250248,27219.85
"24","DOPRL",12,2013,1376,19.209019,26431.61
"25","DSA05",4,2005,59,63.788136,3763.5
"26","LAL",6,2007,2323,59.821132,138964.49
"27","DSA07",5,2007,82,272.642317,22356.67
"28","DMA07",5,2007,21,171.428571,3600
"29","DOPRL",8,2013,1563,21.173941,33094.87
"30","DSA",6,2010,21,169.136667,3551.87
"31","INT",6,2010,72,72.638889,5230
"32","DSA05",6,2005,75,145.5976,10919.82
"33","SF10",6,2010,337,62.72997,21140
"34","SJ10",6,2010,2438,54.624352,133174.17
"35","DOPRL",9,2006,779,18.826534,14665.87
"36","DOPRL",10,2006,1051,22.628078,23782.11
"37","DOPRL",11,2006,890,20.433449,18185.77
"38","DMA05",7,2005,15,69.866667,1048
"39","S59",7,2005,462,66.244481,30604.95
"40","DOPRL",4,2005,578,24.545571,14187.34
"41","DOPRL",5,2005,518,20.295251,10512.94
"42","DOPRL",6,2005,479,19.502589,9341.74
"43","DOPRL",7,2005,685,22.730467,15570.37
"44","DOPRL",8,2005,553,19.750344,10921.94
"45","DOPRL",9,2005,502,19.206175,9641.5
"46","DOPRL",10,2005,688,22.702951,15619.63
"47","DOPRL",12,2005,581,19.456988,11304.51
"48","PAT05",1,2005,16,147,2352
"49","DSA05",3,2005,75,72.109467,5408.21
"50","PAPE4",1,2005,10,55.5,555
"51","PAT05",2,2005,41,109.600244,4493.61
"52","S59",3,2005,3421,47.586369,162792.97
"53","S59",4,2005,2872,51.111354,146791.81
"54","S59",2,2005,282,35.959149,10140.48
"55","CROIX",3,2005,40,1317.283,52691.32
"56","PAT05",3,2005,27,125.944815,3400.51
"57","LAF41",3,2005,16,92.9375,1487
"58","SR47",4,2005,151,90.057616,13598.7
"59","CROIX",4,2005,27,1451.703704,39196
"60","DSA05",1,2005,45,60.001556,2700.07
"61","S59",12,2005,283,73.206714,20717.5
"62","S48",1,2005,26,33.884615,881
"63","SR47",3,2005,53,76.778302,4069.25
"64","DSA05",2,2005,89,61.530225,5476.19
"65","SR47",2,2005,213,77.057371,16413.22
"66","LAF41",2,2005,64,43.296875,2771
"67","PAPE4",3,2005,12,89.666667,1076
"68","SR47",1,2005,65,75.015385,4876
"69","S48",2,2005,24,43.125,1035
"70","S59",6,2005,670,52.395701,35105.12
"71","LAF52",6,2005,1209,53.132076,64236.68
"72","DSA05",7,2005,60,106.273,6376.38
"73","LAF52",7,2005,301,67.119967,20203.11
"74","PAT05",4,2005,20,234.9,4698
"75","S59",5,2005,1204,48.679726,58610.39
"76","DSA05",5,2005,79,170.597722,13477.22
"77","CROIX",5,2005,13,330,4290
"78","SR47",5,2005,51,82.009804,4182.5
"79","PAT05",5,2005,23,251.513043,5784.8
"80","INT",7,2005,8,44.125,353
"81","SR47",6,2005,51,71.568627,3650
"82","SR47",7,2005,38,344.394737,13087
"83","2008DO",10,2006,58,72.042414,4178.46
"84","LAF52",12,2005,25,49.04,1226
"85","CROIX",6,2005,18,56.055556,1009
"86","PAT05",7,2005,16,141.326875,2261.23
"87","S59",8,2005,1100,57.265609,62992.17
"88","CROIX",8,2005,75,381.866667,28640
"89","DSA05",8,2005,159,93.933648,14935.45
"90","LAF52",8,2005,117,93.094017,10892
"91","SR47",8,2005,63,109.126984,6875
"92","PAT05",8,2005,11,133.555455,1469.11
"93","DMA05",8,2005,23,129.130435,2970
"94","SO05",10,2005,2189,56.48296,123641.2
"95","INT",12,2005,11,42.909091,472
"96","DOPRL",11,2005,564,19.62578,11068.94
"97","2008",11,2005,12,241.785,2901.42
"98","2008DO",11,2005,54,77.675926,4194.5
"99","2008DO",10,2005,20,43.755,875.1
"100","SO05",11,2005,4007,59.390092,237976.1
"101","DMA05",9,2005,21,90.917143,1909.26
"102","S59",10,2005,523,50.447763,26384.18
"103","DOPRL",2,2006,748,19.978957,14944.26
"104","DOPRL",5,2006,838,20.445418,17133.26
"105","DOPRL",8,2006,858,20.641923,17710.77
"106","2008DO",9,2005,6,2726.666667,16360
"107","S59",9,2005,417,98.775156,41189.24
"108","DMA05",11,2005,5,45,225
"109","LAF52",10,2005,44,68.409091,3010
"110","DSA05",9,2005,77,257.257792,19808.85
"111","LAF52",9,2005,50,54.46,2723
"112","INT",10,2005,2,25,50
"113","INT",9,2005,14,38.285714,536
"114","DSA05",10,2005,67,146.658955,9826.15
"115","S59",11,2005,183,58.111967,10634.49
"116","DOPRL",3,2005,298,22.572953,6726.74
"117","DOPRL",1,2005,424,27.569151,11689.32
"118","DOPRL",2,2005,320,22.462219,7187.91
"119","SF17",10,2017,608,52.682566,32031
"120","DOPRL",6,2006,757,18.913963,14317.87
"121","DOPRL",12,2006,815,18.899227,15402.87
"122","DOPRL",1,2006,852,22.118721,18845.15
"123","DOPRL",4,2006,1009,22.608276,22811.75
"124","DOPRL",3,2006,707,18.431909,13031.36
"125","DOPRL",7,2006,1036,22.796023,23616.68
"126","LAL",1,2006,415,53.326506,22130.5
"127","LAL",2,2006,221,59.642805,13181.06
"128","SO05",1,2006,235,63.530894,14929.76
"129","SO05",2,2006,225,81.302222,18293
"130","PAP01",1,2007,5,18,90
"131","SF06",2,2006,1487,46.250841,68775
"132","SF06",3,2006,5158,47.361857,244292.46
"133","2008DO",3,2006,17,35.703529,606.96
"134","DSA06",3,2006,34,112.771176,3834.22
"135","SO05",3,2006,190,99.263158,18860
"136","LAL",3,2006,128,72.820313,9321
"137","SO05",4,2006,153,71.904902,11001.45
"138","LAL",4,2006,78,58.528846,4565.25
"139","INT",4,2006,10,51.3,513
"140","SF06",5,2006,1231,50.300715,61920.18
"141","SO05",5,2006,100,68.405,6840.5
"142","LAL",5,2006,58,102.741379,5959
"143","INT",5,2006,13,48.538462,631
"144","DMA06",6,2006,14,61.928571,867
"145","DSA06",6,2006,65,261.543077,17000.3
"146","LAL",6,2006,2021,53.242034,107602.15
"147","SO05",6,2006,76,105.730263,8035.5
"148","SF06",6,2006,489,63.378037,30991.86
"149","CROIX",7,2006,7,1008.571429,7060
"150","SO06",10,2006,2637,59.481915,156853.81
"151","DSA06",8,2006,87,181.376552,15779.76
"152","SF06",8,2006,956,89.606444,85663.76
"153","SF06",7,2006,355,144.340338,51240.82
"154","LAL",7,2006,526,76.286312,40126.6
"155","DMM01",7,2006,2,175,350
"156","DSA06",7,2006,53,259.122453,13733.49
"157","2008DO",7,2006,10,66.159,661.59
"158","DMM01",5,2005,2,150,300
"159","INT",8,2006,18,40.111111,722
"160","LAL",8,2006,339,88.690914,30066.22
"161","SO05",8,2006,78,229.63141,17911.25
"162","DSA06",9,2006,75,141.975867,10648.19
"163","LAL",9,2006,223,74.881166,16698.5
"164","SF06",9,2006,278,64.088129,17816.5
"165","LAL",10,2006,167,85.851737,14337.24
"166","SO05",9,2006,41,144.512195,5925
"167","2008DO",9,2006,31,405.287097,12563.9
"168","DSA06",10,2006,64,355.348125,22742.28
"169","INT",10,2006,19,47.684211,906
"170","SF06",10,2006,588,55.460612,32610.84
"171","SO05",10,2006,24,158,3792
"172","SF07",5,2007,1224,60.833791,74460.56
"173","DMA06",11,2006,6,91.333333,548
"174","DSA06",11,2006,35,159.048286,5566.69
"175","SO06",11,2006,3545,58.529433,207486.84
"176","2008DO",11,2006,38,47.005,1786.19
